Date,Total time,Time Studied,% of time,Studied for what
8/12/23,0:29:00,0:28:00,0.9655172414,Linear Algebra
9/12/23,0:11:00,0:10:00,0.9090909091,Linear Algebra
9/12/23,0:23:26,0:19:37,0.8371266003,Linear Algebra
9/12/23,0:36:10,0:35:33,0.9829493088,Linear Algebra
9/12/23,0:24:20,0:24:10,0.9931506849,Linear Algebra
10/12/23,0:42:49,0:39:48,0.9295445699,Linear Algebra
10/12/23,0:06:49,0:06:49,1,Linear Algebra
10/12/23,0:36:43,0:36:13,0.9863822061,Linear Algebra
10/12/23,0:14:57,0:14:40,0.9810479376,Linear Algebra
10/12/23,0:33:02,0:32:30,0.9838546922,Linear Algebra
10/12/23,0:42:23,0:41:23,0.9764058199,Linear Algebra
11/12/23,1:00:51,0:59:50,0.9832922487,Linear Algebra
11/12/23,0:19:45,0:18:45,0.9493670886,Linear Algebra
11/12/23,0:23:40,0:22:35,0.9542253521,Linear Algebra
11/12/23,0:25:43,0:22:43,0.8833441348,Linear Algebra
11/12/23,0:17:43,0:16:00,0.9031044214,Linear Algebra
11/12/23,0:37:33,0:30:00,0.7989347537,Java
28/12/23,0:29:38,0:27:18,0.9212598425,Linear Algebra
28/12/23,0:28:18,0:28:18,1,Linear Algebra
28/12/23,0:19:19,0:15:29,0.801553063,Linear Algebra
30/12/23,0:22:41,0:22:00,0.9698750918,Linksbot
30/12/23,0:02:55,0:02:55,1,Linksbot
30/12/23,0:16:59,0:16:39,0.9803729146,Linksbot
30/12/23,0:15:40,0:15:10,0.9680851064,Linksbot
30/12/23,0:42:30,0:40:05,0.9431372549,Linksbot
2/1/24,0:16:40,0:16:40,1,Linksbot
1/2/24,0:22:23,0:21:23,0.9553239017,vim
4/1/24,1:00:41,0:43:00,0.7085965394,Java
4/1/24,0:40:31,0:39:10,0.9666803784,Java
4/1/24,0:15:36,0:15:36,1,Java
5/1/24,1:01:24,1:01:24,1,Java
5/1/24,0:07:00,0:06:52,0.980952381,Java
5/1/24,0:05:12,0:05:12,1,Java
5/1/24,0:06:10,0:06:10,1,Java
5/1/24,0:11:51,0:11:51,1,Java
5/1/24,0:26:46,0:26:46,1,Java
5/1/24,0:08:06,0:08:06,1,Java
5/1/24,13:24,13:24,1,Java
6/1/24,0:31:35,0:31:25,0.9947229551,Java
6/1/24,0:32:04,0:32:04,1,Java
6/1/24,0:06:22,0:06:22,1,Java
1/6/24,0:29:10,0:29:10,1,Java