Date,Total time,Time Studied,% of time,Studied for what,Notes,Notes 2
2023-12-08,0:29:00,0:28:00,0.9655172414,Linear Algebra,,
2023-12-09,0:11:00,0:10:00,0.9090909091,Linear Algebra,,
2023-12-09,0:23:26,0:19:37,0.8371266003,Linear Algebra,,
2023-12-09,0:36:10,0:35:33,0.9829493088,Linear Algebra,,
2023-12-09,0:24:20,0:24:10,0.9931506849,Linear Algebra,,
2023-12-10,0:42:49,0:39:48,0.9295445699,Linear Algebra,,
2023-12-10,0:06:49,0:06:49,1,Linear Algebra,,
2023-12-10,0:36:43,0:36:13,0.9863822061,Linear Algebra,,
2023-12-10,0:14:57,0:14:40,0.9810479376,Linear Algebra,,
2023-12-10,0:33:02,0:32:30,0.9838546922,Linear Algebra,,
2023-12-10,0:42:23,0:41:23,0.9764058199,Linear Algebra,,
2023-12-11,1:00:51,0:59:50,0.9832922487,Linear Algebra,,
2023-12-11,0:19:45,0:18:45,0.9493670886,Linear Algebra,,
2023-12-11,0:23:40,0:22:35,0.9542253521,Linear Algebra,,
2023-12-11,0:25:43,0:22:43,0.8833441348,Linear Algebra,,
2023-12-11,0:17:43,0:16:00,0.9031044214,Linear Algebra,,
2023-12-11,0:37:33,0:30:00,0.7989347537,Java,,
2023-12-28,0:29:38,0:27:18,0.9212598425,Linear Algebra,,
2023-12-28,0:28:18,0:28:18,1,Linear Algebra,,
2023-12-28,0:19:19,0:15:29,0.801553063,Linear Algebra,,
2023-12-30,0:22:41,0:22:00,0.9698750918,Linksbot,,
2023-12-30,0:02:55,0:02:55,1,Linksbot,,
2023-12-30,0:16:59,0:16:39,0.9803729146,Linksbot,,
2023-12-30,0:15:40,0:15:10,0.9680851064,Linksbot,,
2023-12-30,0:42:30,0:40:05,0.9431372549,Linksbot,,
2024-01-02,0:16:40,0:16:40,1,Linksbot,,
2024-01-02,0:22:23,0:21:23,0.9553239017,vim,,
2024-01-04,1:00:41,0:43:00,0.7085965394,Java,,
2024-01-04,0:40:31,0:39:10,0.9666803784,Java,,
2024-01-04,0:15:36,0:15:36,1,Java,,
2024-01-05,1:01:24,1:01:24,1,Java,,
2024-01-05,0:07:00,0:06:52,0.980952381,Java,,
2024-01-05,0:05:12,0:05:12,1,Java,,
2024-01-05,0:06:10,0:06:10,1,Java,,
2024-01-05,0:11:51,0:11:51,1,Java,,
2024-01-05,0:26:46,0:26:46,1,Java,,
2024-01-05,0:08:06,0:08:06,1,Java,,
2024-01-05,0:13:24,0:13:24,1,Java,,
2024-01-06,0:31:35,0:31:25,0.9947229551,Java,,
2024-01-06,0:32:04,0:32:04,1,Java,,
2024-01-06,0:06:22,0:06:22,1,Java,,
2024-01-06,0:29:10,0:29:10,1,Java,,
2024-01-07,0:58:30,0:57:30,0.9829059829,Daily Study Tracker,,
2024-01-07,0:02:07,0:02:07,1,Linksbot,,
2024-01-07,1:01:04,0:59:01,0.966430131,Linksbot,,
2024-01-07,0:23:01,0:22:58,0.9978276611,Book,,
2024-01-07,0:34:10,0:33:50,0.9902439024,Linksbot,,
2024-01-07,0:48:40,0:48:10,0.9897260274,Linksbot,,
2024-01-07,0:27:40,0:25:30,0.921686747,Book,,
2024-01-08,1:06:10,1:06:10,1,Podcast automation,,
2024-01-08,0:35:10,0:32:01,0.9104265403,Podcast automation,,
2024-01-09,0:15:42,0:15:42,1,Podcast automation,,
2024-01-09,0:16:48,0:16:48,1,Podcast automation,,
2024-01-09,0:20:42,0:20:42,1,Podcast automation,,
2024-01-10,0:34:14,0:33:17,0.9722492697,Podcast automation,,
2024-01-14,0:19:10,0:18:55,0.9869565217,NGN2001I,Lecture 1,
2024-01-14,0:13:33,0:13:33,1,NGN2001I,Lecture 1,
2024-01-14,0:15:20,0:14:50,0.9673913043,CS2040S,Steve Jobs Address,
2024-01-15,0:11:05,0:11:05,1,NTW,Readings for 1 class,
2024-01-15,0:17:24,0:15:28,0.8888888889,NTW,Readings for 1 class,
2024-01-15,0:20:33,0:20:15,0.9854014599,CS2030S,Seeing notes again,
2024-01-16,0:26:01,0:24:53,0.9564381807,CS2040S,PS1,Question 1
2024-01-16,0:09:53,0:09:53,1,CS2040S,PS1,Saw Setup video
2024-01-16,0:42:10,0:41:28,0.9833992095,CS2040S,PS1,Question 2
2024-01-16,0:20:10,0:20:04,0.9950413223,CS2040S,PS1,Question 2
2024-01-17,0:29:50,0:28:59,0.9715083799,CS2040S,PS1,"Question 2a, b almost done"
2024-01-17,0:36:20,0:35:25,0.9747706422,CS2040S,PS1,Question 2b wrote tests
2024-01-17,0:03:03,0:03:03,1,CS2040S,PS1,2c toilet break interrupt
2024-01-17,0:10:17,0:10:17,1,CS2040S,PS1,2c quit
2024-01-17,0:17:55,0:17:55,1,NTW,Snapshot paper 1,Read the paper
2024-01-17,0:16:38,0:09:55,0.5961923848,NTW,Snapshot paper 1,Write outline
2024-01-17,0:32:39,0:28:03,0.8591117917,NTW,Snapshot paper 1,Write outline
2024-01-18,1:04:10,1:04:10,1,NTW,Snapshot paper 1,Write first draft
2024-01-18,1:02:12,0:55:25,0.890943194,NTW,Snapshot paper 1,DONE
2024-01-19,0:25:33,0:25:33,1,Linear Algebra,Lecture 7,Halfway seen
2024-01-19,0:12:49,0:12:49,1,Linear Algebra,Lecture 7,Need to get pen
2024-01-19,0:23:12,0:23:12,1,Linear Algebra,Lecture 7,DONE
2024-01-19,0:27:57,0:26:53,0.961836613,Linear Algebra,Strang 3.2,
2024-01-21,0:20:10,0:19:35,0.9710743802,NTW,Readings,
2024-01-21,0:40:15,0:27:45,0.6894409938,NTW,Readings,
2024-01-21,0:39:56,0:25:50,0.6469115192,NTW,Readings,
2024-01-21,0:17:48,0:17:48,1,NTW,Readings,
2024-01-22,0:04:12,0:04:12,1,CS2030S,Notes review,Toilet break
2024-01-22,0:41:41,0:41:25,0.993602559,CS2030S,Notes review,Done upto Class Methods
2024-01-22,0:20:17,0:20:17,1,CS2030S,Notes review,Done upto Composition
2024-01-22,0:41:02,0:41:02,1,CS2030S,Notes review,Done with today's lecture
2024-01-22,0:16:00,0:16:00,1,NGN2001I,Week 2 readings,Skimmed readings
2024-01-22,0:24:42,0:24:07,0.9763832659,NGN2001I,Week 2 readings,Saw video
2024-01-22,0:25:45,0:23:02,0.8944983819,CS2040S,Lecture Review and quiz,
2024-01-23,0:42:25,0:41:05,0.9685658153,CS2040S,PS2,Question 1
2024-01-23,0:35:00,0:32:33,0.93,CS2040S,PS2,Question 1 DONE
2024-01-23,0:07:10,0:07:10,1,QF1100,Quiz,
2024-01-23,0:34:11,0:33:44,0.9868356899,DataVisualizationProject,,
2024-01-23,0:09:45,0:09:45,1,NGN2001I,,
2024-01-23,0:51:26,0:47:54,0.9313026572,MA1522,Tutorial questions,Did uptill q6
2024-01-23,1:53:00,1:47:22,0.9501474926,CS2040S,PS2,Q2 Done
2024-01-24,0:17:32,0:17:32,1,MA1522,Tutorial questions,Did q7
,,,,,,`